project_name,county,Fuel,Capacity (MW),latitude,longitude,GIM Study Phase,Interconnecting Entity,Projected COD
Longleaf Power Station ,Angelina,GAS,600.0,31.2544545,-94.6181177,"SS Completed, FIS Started, No IA","WattBridge Texas Holdings, LLC",2029-03-31
NET Power Demonstration plant,Harris,GAS,25.5,29.8119769,-95.3741247,"SS Completed, FIS Completed, No IA",NET Power LLC,2027-08-21
Jack County III – 345 kV,Jack,GAS,660.0,33.2127019,-98.1639199,"SS Completed, FIS Started, No IA","Jack County Power Development, LLC",2027-07-01
Central Power Station,Grimes,GAS,750.0,30.5169334,-95.9943034,"SS Completed, FIS Started, No IA",Hydra-Gen Energy Unlimited ,2027-05-01
Liatris Flexible Gas,Brazoria,GAS,204.71,29.18161,-95.4993375,"SS Completed, FIS Started, IA",Stone Creek Peaker LLC,2029-02-01
Sky Global West Houston,Austin,GAS,324.58,29.8916488,-96.2443467,"SS Completed, FIS Completed, IA","Sky Global Power Two, LLC",2027-06-01
Electric E - West Texas Generation,Loving,GAS,43.64,31.8364044,-103.5663536,"SS Completed, FIS Started, No IA",Electric E Power Marketing,2028-04-09
Comanche Creek generating station,Pecos,GAS,107.0,30.7857437,-102.8065415,"SS Completed, FIS Started, No IA",Longfellow Power LLC,2027-12-31
Fort Worth Power Core Bastrop Gas Plant,Bastrop,GAS,506.38,30.0541116,-97.3887764,"SS Completed, FIS Started, No IA",Fort Worth Power Core LLC,2029-09-28
Electric E - West Texas Generation 2,Midland,GAS,0.0,31.83688,-102.0103767,"SS Completed, FIS Started, No IA",Electric E Power Marketing,2028-09-19
Coleto Creek - Fuel Change Only,Goliad,GAS,655.0,28.6467776,-97.4379552,"SS Completed, FIS Started, No IA",COLETO CREEK POWER LLC,2026-12-15
Exergy Energy West Texas Natural Gas Reciprocating Power I,Reeves,GAS,400.0,31.232003,-103.6583657,"SS Completed, FIS Started, No IA",August Partners LLC,2027-05-01
Monahans Power Gas,Ward,GAS,18.2,31.5007583,-103.0781186,"SS Completed, FIS Started, No IA",Liberty Power Innovations LLC,2030-04-16
Sandow Lakes Energy Station,Milam,GAS,1291.6,30.7626867,-96.9981706,"SS Completed, FIS Started, No IA","SL Energy Power Plant I, LLC",2028-04-01
Aegle Power,Cameron,GAS,1536.4,26.1291189,-97.4134281,"SS Completed, FIS Started, No IA",Aegle Power LLC ,2027-07-30
Bulldog Power (TEF - Due Diligence) ,Brazoria,GAS,311.0,29.18161,-95.4993375,"SS Completed, FIS Completed, No IA",Bulldog Power LLC,2027-12-18
Elk Unit 4 ,Hale,GAS,210.0,34.0321298,-101.8088827,"SS Completed, FIS Completed, IA","Golden Spread Electric Cooperative, Inc.",2027-02-28
EMPower Odessa (TEF - Due Diligence) ,Ector,GAS,122.8,31.8941755,-102.5794339,"SS Completed, FIS Started, IA","EMPOWER USA, LLC",2028-03-09
Tolivar Power Plant (TEF- Due Diligence),Reeves,GAS,224.5,31.232003,-103.6583657,"SS Completed, FIS Completed, IA","Pecos Power Plant, LLC",2027-06-11
Rock Island Generating (TEF -Due Diligence),Colorado,GAS,121.8,29.6099609,-96.5478826,"SS Completed, FIS Completed, IA",Kerrville Public Utility Board Public Facility Corporation,2027-06-01
LONE STAR INDUSTRIAL PARK GAS POWER PROJECT  ,Morris,GAS,166.0,33.0738633,-94.7392197,"SS Completed, FIS Started, No IA","LONE STAR INDUSTRIAL PARK, LLC",2028-05-11
Jalisco Cogen ,Nueces,GAS,167.8,27.7153774,-97.6199942,"SS Completed, FIS Started, No IA","HEP Power Generation, LLC",2029-05-31
Power Lane II Gas,Hunt,GAS,104.39,33.1161567,-96.0808922,"SS Completed, FIS Started, No IA",GEUS,2027-06-01
Black Mountain Somervell Gas Combined,Somervell,GAS,495.3,32.2275813,-97.7724138,"SS Completed, FIS Started, No IA",Fort Worth Power Core LLC,2029-09-28
Infrakey Waco Data Park Gas 2,McLennan,GAS,0.0,31.5487691,-97.2189254,"SS Completed, FIS Started, No IA",Infrakey Capital LLC,2030-06-01
Kilby1 Part 1 Small Block Simple Cycle,Reeves,GAS,371.0,31.232003,-103.6583657,"SS Completed, FIS Started, No IA",Energy Forge One LLC,2027-11-04
